TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
-1.35200e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35197e-03,0.16,0.08,3.28,3.28,0.0799999,0.0799999
-1.35194e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35190e-03,0.16,0.08,3.28,3.28,0.0799999,0.0799999
-1.35187e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35184e-03,0.16,0.08,3.28,3.2,0.0799999,0.0799999
-1.35181e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35178e-03,0.08,0.08,3.28,3.28,0.0799999,0.0799999
-1.35174e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35171e-03,0.16,0.08,3.28,3.28,0.0799999,0.0799999
-1.35168e-03,0.16,0.16,3.28,3.28,0.0799999,0.16
-1.35165e-03,0.16,0.08,3.28,3.28,0.0799999,-1.33514e-07
-1.35162e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35158e-03,0.16,0.08,3.28,3.2,0.0799999,0.0799999
-1.35155e-03,0.16,0.16,3.28,3.28,0.16,0.16
-1.35152e-03,0.16,0.08,3.28,3.2,0.0799999,0.0799999
-1.35149e-03,0.16,0.16,3.28,3.28,0.0799999,0.16
-1.35146e-03,0.16,0.08,3.28,3.28,0.0799999,0.0799999
-1.35142e-03,0.16,0.16,3.28,3.28,0.0799999,0.16
-1.35139e-03,0.16,0.08,3.28,3.2,0.0799999,0.0799999
-1.35136e-03,0.16,0.16,3.28,3.28,0.16,0.16
-1.35133e-03,0.16,0.08,3.28,3.2,0.0799999,0.0799999
-1.35130e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35126e-03,0.16,0.08,3.28,3.28,0.0799999,0.0799999
-1.35123e-03,0.16,0.16,3.28,3.36,0.0799999,0.16
-1.35120e-03,0.16,0.08,3.28,3.2,0.0799999,0.0799999
-1.35117e-03,0.16,0.16,3.28,3.28,0.0799999,0.16
-1.35114e-03,0.16,0.08,3.28,3.2,0.16,-1.33514e-07
